id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
Uggygh1mzB_IongCoAEC,statsvenu manneni,11 months ago,1498901983649,Great video,2,true,1,,,,,,
,,,,,,,,Uggygh1mzB_IongCoAEC.8TjxbOj5yp48VLRqhzb2Xl,Data Science Dojo,10 months ago,1501580384113,@Statsvenu Manneni - Glad you liked the video!,0
UggBdVoRusKctngCoAEC,Nikhitha Rajashekar,11 months ago,1498901983662,"Great Video to understand !
 But i have doubt, how the resampling result across tunin Parameters are selected?",2,true,1,,,,,,
,,,,,,,,UggBdVoRusKctngCoAEC.8ThRxoTiYvI8VLRuExHIyt,Data Science Dojo,10 months ago,1501580384004,"@Nikhitha Rajashekar - As I mention in the video, while caret can perform stratified cross validation, the video does not demonstrate this. As coded, the video illustrates using cross validation with simple random sampling to create each of the 10 folds for each of the repeats (i.e., 30 total folds each created with random sampling).

HTH,

Dave",0
UgiXttvXy00wRngCoAEC,Junaid Effendi,11 months ago,1498901983680,"Great video but didnt see use of train.dummy? you worked on train dataset which has the imputed age but not the dummy columns, clear me please.",3,true,4,,,,,,
,,,,,,,,UgiXttvXy00wRngCoAEC.8TfH9_RGODe8Tg-AnlSVHU,Junaid Effendi,11 months ago,1498901984064,"I got it that dummy variables were calculated in order to do the imputation. In this case, you did the dummy variable stuff to teach, because there were not any missing values in any other columns other than the age, so in reality we can skip the dummy part, correct me if I am wrong. 

Also, actually I thought that the dummy variables were created for the training part too. A question arises after that 
how the machine learning is performing on the categorical variables? is it converting them into numerical values like one hot encoding automatically or processing directly just like in a simple decision tree?",0
,,,,,,,,UgiXttvXy00wRngCoAEC.8TfH9_RGODe8Tg50j9Ykem,Junaid Effendi,11 months ago,1498901984068,Thanks :),1
,,,,,,,,UgiXttvXy00wRngCoAEC.8TfH9_RGODe8VLRvo0-6h7,Data Science Dojo,10 months ago,1501580384075,"@Junaid Effendi - If I understand your question correctly the following lines of code use train.dummy to generate a new matrix with all missing Age values imputed:

pre.process <- preProcess(train.dummy, method = ""bagImpute"")
imputed.data <- predict(pre.process, train.dummy)
View(imputed.data)

HTH,

Dave",0
,,,,,,,,UgiXttvXy00wRngCoAEC.8TfH9_RGODe8VLRyGVqi4h,Data Science Dojo,10 months ago,1501580384080,"@Junaud Effendi - If you use caret's imputation feature via the preProcess() function then you need to convert to dummy variables. As I mention in the video, the preProcess() function does not work with factor variables. You would not want to skip this step as you are losing potential features that the bagged decision trees could use to potentially build more accurate imputation models.

To answer your second question, ""it depends"". For example, in the case of the mighty Random Forest factors can be used directly so caret will do nothing. However, xgboost does not support factors by default. In this case caret is transforming the factors behind the scenes for you.

HTH,

Dave",0
Ughoum5pkRFZYHgCoAEC,namoo non,11 months ago,1498901983693,I greatly appreciate it,2,true,1,,,,,,
,,,,,,,,Ughoum5pkRFZYHgCoAEC.8Ta8xHybsNu8VLS3CWHmHE,Data Science Dojo,10 months ago,1501580384100,"@Nameoo Non - No problem, glad you liked the video!",0
